rank,last_rank,trend,name,city,rating,rating_5yr
447,267,stable,Carr ville Mills,Thornhill,7.8,7.9
392,177,stable,Guardian Angels,Stittsville,7.9,8.1
447,390,stable,Castor Valley,Greely,7.8,7.6
392,180,stable,Pine Grove,Oakville,7.9,8.1
447,390,stable,St Padre Pio,Woodbridge,7.8,7.6
392,241,stable,Buttonville,Markham,7.9,7.9
447,409,stable,Hartman,Aurora,7.8,7.6
392,243,stable,St William Emer y,ville,7.9,7.9
447,433,stable,Byron Southwood,London,7.8,7.5
392,259,stable,St Andrews,Scarborough,7.9,7.9
447,454,stable,St Gregor y,Toronto,7.8,7.5
392,285,stable,Lyn-Tincap,Lyn,7.9,7.8
447,461,stable,Markham Gateway,Markham,7.8,7.5
392,285,stable,Whitchurch Highlands,Stouffville,7.9,7.8
447,484,stable,St. Gabriel Stoney,Creek,7.8,7.4
392,296,stable,St Michael Niagara- on-the,-Lake,7.9,7.8
447,514,stable,Our Lady of Peace,Oakville,7.8,7.4
392,304,stable,Cedarwood,Markham,7.9,7.8
447,628,stable,Pickering,Pickering,7.8,7.2
392,304,stable,Holy Spirit,Aurora,7.9,7.8
447,638,stable,Garrison Road For t,Erie,7.8,7.2
392,324,stable,St Francis Xavier,Markham,7.9,7.7
447,639,stable,Rogers,Newmarket,7.8,7.1
392,334,stable,Rickson Ridge,Guelph,7.9,7.7
447,694,declining,Charlotte Lemieux,Ottawa,7.8,7.1
392,345,stable,Broadview,Ottawa,7.9,7.7
447,694,stable,Highview,Aurora,7.8,7.1
392,358,stable,St Gregor y,Mississauga,7.9,7.7
447,791,declining,Alexander Graham Bell,Ajax,7.8,6.9
392,361,declining,Sainte-Marie,Oakville,7.9,7.7
447,824,stable,St Patrick,Guelph,7.8,6.9
392,369,declining,Mar tha Cullimore Niagara,Falls,7.9,7.7
447,829,declining,Stirling,Stirling,7.8,6.9
392,369,declining,Nor th Agincour t,Scarborough,7.9,7.7
447,846,stable,Carrefour des Jeunes,Brampton,7.8,6.8
392,381,stable,Greendale Niagara,Falls,7.9,7.6
447,857,declining,Le Flambeau,Mississauga,7.8,6.8
392,390,stable,Alton,Caledon,7.9,7.6
447,890,declining,Monseigneur Rémi-Gaulin,Kingston,7.8,6.8
